timestamp,1_AIT_001_PV,1_AIT_002_PV,1_AIT_003_PV,1_AIT_004_PV,1_AIT_005_PV,1_FIT_001_PV,1_LS_001_AL,1_LS_002_AL,1_LT_001_PV,1_MV_001_STATUS,1_MV_002_STATUS,1_MV_003_STATUS,1_MV_004_STATUS,1_P_001_STATUS,1_P_002_STATUS,1_P_003_STATUS,1_P_004_STATUS,1_P_005_STATUS,1_P_006_STATUS,2_DPIT_001_PV,2_FIC_101_CO,2_FIC_101_PV,2_FIC_101_SP,2_FIC_201_CO,2_FIC_201_PV,2_FIC_201_SP,2_FIC_301_CO,2_FIC_301_PV,2_FIC_301_SP,2_FIC_401_CO,2_FIC_401_PV,2_FIC_401_SP,2_FIC_501_CO,2_FIC_501_PV,2_FIC_501_SP,2_FIC_601_CO,2_FIC_601_PV,2_FIC_601_SP,2_FIT_001_PV,2_FIT_002_PV,2_FIT_003_PV,2_FQ_101_PV,2_FQ_201_PV,2_FQ_301_PV,2_FQ_401_PV,2_FQ_501_PV,2_FQ_601_PV,2_LS_001_AL,2_LS_002_AL,2_LS_101_AH,2_LS_101_AL,2_LS_201_AH,2_LS_201_AL,2_LS_301_AH,2_LS_301_AL,2_LS_401_AH,2_LS_401_AL,2_LS_501_AH,2_LS_501_AL,2_LS_601_AH,2_LS_601_AL,2_LT_001_PV,2_LT_002_PV,2_MCV_007_CO,2_MCV_101_CO,2_MCV_201_CO,2_MCV_301_CO,2_MCV_401_CO,2_MCV_501_CO,2_MCV_601_CO,2_MV_001_STATUS,2_MV_002_STATUS,2_MV_003_STATUS,2_MV_004_STATUS,2_MV_005_STATUS,2_MV_006_STATUS,2_MV_009_STATUS,2_MV_101_STATUS,2_MV_201_STATUS,2_MV_301_STATUS,2_MV_401_STATUS,2_MV_501_STATUS,2_MV_601_STATUS,2_P_001_STATUS,2_P_002_STATUS,2_P_003_SPEED,2_P_003_STATUS,2_P_004_SPEED,2_P_004_STATUS,2_PIC_003_CO,2_PIC_003_PV,2_PIC_003_SP,2_PIT_001_PV,2_PIT_002_PV,2_PIT_003_PV,2_SV_101_STATUS,2_SV_201_STATUS,2_SV_301_STATUS,2_SV_401_STATUS,2_SV_501_STATUS,2_SV_601_STATUS,2A_AIT_001_PV,2A_AIT_002_PV,2A_AIT_003_PV,2A_AIT_004_PV,2B_AIT_001_PV,2B_AIT_002_PV,2B_AIT_003_PV,2B_AIT_004_PV,3_AIT_001_PV,3_AIT_002_PV,3_AIT_003_PV,3_AIT_004_PV,3_AIT_005_PV,3_FIT_001_PV,3_LS_001_AL,3_LT_001_PV,3_MV_001_STATUS,3_MV_002_STATUS,3_MV_003_STATUS,3_P_001_STATUS,3_P_002_STATUS,3_P_003_STATUS,3_P_004_STATUS,LEAK_DIFF_PRESSURE,PLANT_START_STOP_LOG,TOTAL_CONS_REQUIRED_FLOW
0,0.781266477222355,0.306641027135171,0.951989622928075,0.963382833614103,0.63729132795772,0.000153929444312317,0,0,0.425739793415481,0.5,0,0,0.5,0,0,0,0,1,0,0.907129303919839,0.251854987215263,0.0494610790618791,0.0714285714285714,0.201710818981219,0.0534725184139669,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.259532893868248,0.0352329255814559,0.0930232558139535,0.214991553908102,0.0360313890457321,0,0.229210572273539,0.0288434335950974,0.0909090909090909,0.980171784020714,0.538905579950183,0,0.0499510367342591,0.0524912626288863,0.0075252522164335,0.0358257609921346,0.0365276900633534,0.0289479342714312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362157365411161,0.839319957811976,0,0.261453,0.250612,0.278144,0,0.270996,0.308486,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00204295264440619,0,0.931265983662926,0,1,0.00140412689681767,0,0.735004267866843,0.90593233242378,0.00140476791996089,0,0,0,0,0,0,0.174863326823755,7.33749178835928E-42,0.45833211111437,0.585854291595812,0.513887901241591,0.01598834231561,0.826959177383653,0.360353672207334,0,0.997968888433513,0.0290837980303174,0.654719323062963,0.367436480668128,0.450641500306015,0,0.056707948314866,0,0,0,0,0,0,0,0.170539311177299,0,0.247787610619469
1,0.781154490436795,0.303727929607832,0.952137397686504,0.963394228997833,0.637188251113932,0.000183132566340077,0,0,0.424557046194114,0.5,0,0,0.5,0,0,0,0,1,0,0.907586564461135,0.241518621679505,0.0495262993430591,0.0714285714285714,0.18987663671993,0.0517957722487336,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.258793259748116,0.0356220703067577,0.0930232558139535,0.207347183548569,0.0362408014934025,0,0.231593727468719,0.0286785164614998,0.0909090909090909,0.980150170530438,0.530453055320169,0,0.051550104302519,0.052719949413118,0.0075252522164335,0.0356061953471199,0.0362476090187912,0.0293392080090541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36163149937553,0.853564408648545,0,0.263774,0.243334,0.27765,0,0.259584,0.298825,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00203942336980385,0,0.946266971250348,0,1,0.00148122917500903,0,0.738082305165412,0.907907706362467,0.00154642276390981,0,0,0,0,0,0,0.174863326823755,6.56540136727774E-42,0.45833211111437,0.583885259106776,0.513887901241591,0.0222067652899717,0.849892129668543,0.360724864700336,0,0.997968888433513,0.0486217245607474,0.647097695160704,0.367355914053637,0.450727961442732,0,0.087343276714849,0,0,0,0,0,0,0,0.171937761596098,0,0.247787610619469
2,0.781212816887607,0.306641027135171,0.952100453996897,0.963350546693535,0.637743460477058,0.00012847086178533,0,0,0.428027436142379,0.5,0,0,0.5,0,0,0,0,1,0,0.909439009724888,0.23278278146211,0.0507512577123782,0.0714285714285714,0.183348960873447,0.0475538470612042,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.257965915895291,0.0358784169169735,0.0930232558139535,0.201204666469701,0.0367656292840811,0,0.233004517764945,0.0294107740045006,0.0909090909090909,0.980212849652239,0.534585590906367,0,0.0510698606056684,0.0486208241366545,0.0075252522164335,0.036154775265372,0.036883626390818,0.0297622545934666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363455597186617,0.8415122568995,0,0.265283,0.2374505,0.2766885,0,0.2537525,0.2910635,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00203080103632414,0,0.946563247476999,0,1,0.00163702035990557,0,0.742712294043093,0.908119568222524,0.001637767705419,0,0,0,0,0,0,0.174863326823755,7.72220794722272E-42,0.45833211111437,0.585071153674036,0.513887901241591,0.0158849167143041,0.850219009460835,0.361029242544598,0,0.997968888433513,0.13961739483149,0.594348376173675,0.367359854811955,0.449172525593197,0,0.0633507150799426,0,0,0,0,0,0,0,0.16928070580038,0,0.247787610619469
3,0.781345801195459,0.306641027135171,0.952203075356917,0.963361942077265,0.637759859065842,0.000122352123874319,0,0,0.414621969534627,0.5,0,0,0.5,0,0,0,0,1,0,0.910405737719674,0.225020233668045,0.0500173696954731,0.0714285714285714,0.175267467291316,0.049181046009409,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.257154985559695,0.0360488741990242,0.0930232558139535,0.195297795826084,0.0368949722664657,0,0.234527002150477,0.029266551105814,0.0909090909090909,0.978788520643045,0.53050783623929,0,0.0508408615676607,0.0486155336214969,0.0075252522164335,0.0360239382029317,0.0371280489690586,0.0303333594182492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3657726944061,0.841722997267366,0,0.266512,0.231997,0.275954,0,0.246568,0.283735,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00205882481568692,0,0.941012592515225,0,1,0.00168088211510117,0,0.742738159902744,0.907538075032155,0.00168679198323315,0,0,0,0,0,0,0.174863326823755,7.74101719286565E-42,0.45833211111437,0.583527253199676,0.513887901241591,0.0158921862453864,0.838586758566585,0.360955004045998,0,0.997968888433513,0.155174370682132,0.588988891696345,0.36737605570726,0.450760816674685,0,0.059046815689582,0,0,0,0,0,0,0,0.168725741792077,0,0.247787610619469
4,0.78122448217777,0.300814346483305,0.952162026812909,0.963394228997833,0.637136712692039,0.000166556519832896,0,0,0.417049346110463,0.5,0,0,0.5,0,0,0,0,1,0,0.91201875128267,0.21381331213142,0.0508207940415774,0.0714285714285714,0.168726113471808,0.0439645783186709,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.255966031405419,0.0360452404197557,0.0930232558139535,0.18708787402195,0.037520292098596,0,0.236379871388954,0.0294292396294981,0.0909090909090909,0.979350471390223,0.530418817245718,0,0.0515429071898959,0.0444943929755065,0.0075252522164335,0.0362966407392057,0.037942682840569,0.0302694911576974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377308880562676,0.87636831423686,0,0.268472,0.223815,0.274711,0,0.240317,0.273016,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.0020505946238297,0,0.934995031039201,0,1,0.00181730594202344,0,0.749333954113965,0.912109883681328,0.00180084525358801,0,0,0,0,0,0,0.174863326823755,6.66277655350319E-42,0.45833211111437,0.585563411796294,0.513887901241591,0.0158954905776964,0.850219009460835,0.361118328742919,0,0.997968888433513,0.102568997501149,0.62549432227913,0.36748552121608,0.450731419888201,0,0.0630535638970891,0,0,0,0,0,0,0,0.168694337993199,0,0.247787610619469
5,0.781009840838781,0.297900277761591,0.952227704483322,0.963329655156696,0.637609929111243,0.000148005987832412,0,0,0.414370448606539,0.5,0,0,0.5,0,0,0,0,1,0,0.912756849006808,0.203202261845077,0.0493427873754253,0.0714285714285714,0.161098181475188,0.0448895736048512,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.254324679682517,0.0367660500892027,0.0930232558139535,0.179055996191116,0.0369938434685392,0,0.238076160128404,0.0296543292307596,0.0909090909090909,0.978654517003333,0.530469318405533,0,0.0498335929419094,0.0453060603977498,0.0075252522164335,0.0366131227267687,0.0373799274084393,0.0303204567393498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387727601393543,0.884492305479649,0,0.270098,0.216296,0.273409,0,0.233511,0.263263,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00204197229034999,0,0.93194333419855,0,1,0.00183406388616095,0,0.750368588500039,0.917749516173624,0.00183490118754721,0,0,0,0,0,0,0.174863326823755,7.13475444820939E-42,0.45833211111437,0.584019511321936,0.513887901241591,0.0180214979860094,0.844293145797727,0.361237110340681,0,0.997968888433513,0.116064653817028,0.621554314127261,0.367320885090815,0.450742659835974,0,0.0434990989609307,0,0,0,0,0,0,0,0.165477411345604,0,0.247787610619469
6,0.780904853227319,0.292075539498475,0.952071720016091,0.963360992461954,0.637267901402313,0.000140507758776142,0,0,0.404409421375107,0.5,0,0,0.5,0,0,0,0,1,0,0.912710042809668,0.192552279861801,0.0505279421907889,0.0714285714285714,0.155641217357107,0.0417112050587094,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.252458667942544,0.0373147507587496,0.0930232558139535,0.17021768389298,0.0379601879058541,0,0.239340286690543,0.0304722290690071,0.0909090909090909,0.97919053156218,0.530495852913232,0,0.0512838111354643,0.0413818634450456,0.0075252522164335,0.0371972943363359,0.037960349989792,0.0310120403283551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365674094524419,0.866003084200265,0,0.271308,0.207707,0.271292,0,0.228359,0.253356,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00204726261559232,0,0.930375603798541,0,1,0.00200868481110558,0,0.75340782700913,0.915978992118538,0.00200960183182094,0,0,0,0,0,0,0.174863326823755,6.44957134918997E-42,0.45833211111437,0.584086637429518,0.513887901241591,0.0158968123106204,0.850219009460835,0.361348468088582,0,0.997968888433513,0.103636451594297,0.616266296820218,0.367428161289458,0.451628021875954,0,0.0373451938192559,0,0,0,0,0,0,0,0.166063288468427,0,0.247787610619469
7,0.781037837535171,0.29935876891401,0.952001937491277,0.963414170919361,0.637338181068532,0.000148205844290881,0,0,0.409640956869451,0.5,0,0,0.5,0,0,0,0,1,0,0.914764114768795,0.184910312184626,0.0485817242413618,0.0714285714285714,0.151048154015289,0.0419261374691295,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.251047618383262,0.0373396916982745,0.0930232558139535,0.163011615903013,0.0386245699670004,0,0.240468188218528,0.0304392774795721,0.0909090909090909,0.978310862507943,0.530429944619915,0,0.0485227370200565,0.0417214803858076,0.0075252522164335,0.0379679463567376,0.0385038174333205,0.0305973804852272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359922434759744,0.873867395368906,0,0.272293,0.2011105,0.2699725,0,0.2243925,0.2466445,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00203873831751823,0,0.940461404980129,0,1,0.00204595091223141,0,0.756628126535785,0.920309388435448,0.0020468849459627,0,0,0,0,0,0,0.174863326823755,6.66366258795474E-42,0.45833211111437,0.584243265013871,0.513887901241591,0.0158845862810731,0.83277296797512,0.360843646298097,0,0.997968888433513,0.0532087815170612,0.643121354021619,0.367449178667152,0.447937860560881,0,0.0679613511751844,0,0,0,0,0,0,0,0.164537260116685,0,0.247787610619469
8,0.781044836709268,0.309554367461104,0.951870582150451,0.963430314379645,0.637321782479748,0.000161032776269927,0,0,0.402799487815558,0.5,0,0,0.5,0,0,0,0,1,0,0.915752445623801,0.179192219197566,0.04606482883161,0.0714285714285714,0.148697184011741,0.0356382539232682,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.249204688151892,0.0380880850558053,0.0930232558139535,0.156038052395828,0.0388638058592306,0,0.241426982807566,0.0305155277758976,0.0909090909090909,0.977789977392289,0.52233520786791,0,0.0465845873048037,0.0360084066627178,0.0075252522164335,0.0381527557961487,0.038539475899642,0.0306965698292659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36347203050023,0.902588011569746,0,0.273317,0.194463,0.268111,0,0.221654,0.241603,0,0,1,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00203766112361013,0,0.938384886086186,0,1,0.00216859336255859,0,0.76118051783451,0.919374291289522,0.00216958338599366,0,0,0,0,0,0,0.174863326823755,6.79758036648916E-42,0.45833211111437,0.586122796026134,0.513887901241591,0.0158783080496839,0.838586758566585,0.361237110340681,0,0.997968888433513,0.0620136497180187,0.638793486620424,0.367444362184763,0.447952991259806,0,0.0941298263103407,0,0,0,0,0,0,0,0.165841008454491,0,0.247787610619469
9,0.780547895348349,0.286249344443797,0.951874687004852,0.963297368236128,0.637117971447714,0.402459047252969,0,0,0.394850628008831,0,0,0,0.5,1,0,1,0,0,0,0.916382529046846,0.172697114425881,0.0442386609585706,0.0714285714285714,0.145808396108846,0.0366804540055918,0.0681818181818182,1,0.00723027864194451,0.152173913043478,0.246710859377909,0.0385449502129295,0.0930232558139535,0.14659020131851,0.0391800316219279,0,0.242317403912028,0.0307679974418105,0.0909090909090909,0.648244768454679,0.517492232236859,0,0.0450138174748119,0.0360674556383478,0.0075252522164335,0.0380655310878552,0.0396108507286678,0.0317716855485545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358180503516728,0.910714000351567,0,0.27416,0.185147,0.265689,0,0.219373,0.234996,0,0,0,0,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0,0.00204118800710502,0,0.952030138479405,0,1,0.00227795271631982,0,0.763948164817258,0.920694546285055,0.00227899266535409,0,0,0,0,0,0,0.174863326823755,7.07073213026732E-42,0.45833211111437,0.584936901458875,0.500007111060544,0.0199264455627773,0.838479355206262,0.361652845932844,0,0.997968888433513,0.085303667152296,0.621378366564799,0.367452243701398,0.447324851101559,0,0.0587400789847017,0,0,0,0,0,0,0,0.167064284557673,0,0.247787610619469
